Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0100000US,,United States,22548274,1499758,1011686,442315,152667
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0100000US,,United States,102803203,21080725,2072064,8766145,512076
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0100000US,,United States,125351477,22580483,3083750,9208460,664743
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0100000US,,United States,23289620,1430605,1085172,439154,159473
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0100000US,,United States,99426433,19202085,1969560,8028893,508278
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0100000US,,United States,122716053,20632690,3054732,8468047,667751
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,45837894,2930363,2096858,881469,312140
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,202229636,40282810,4041624,16795038,1020354
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0100000US,,United States,248067530,43213173,6138482,17676507,1332494
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0100000US,,United States,22548461,1499784,1011693,442317,152667
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0100000US,,United States,102806961,21081805,2072101,8766200,512084
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0100000US,,United States,125355422,22581589,3083794,9208517,664751
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0100000US,,United States,23290342,1430671,1085188,439161,159476
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0100000US,,United States,99430232,19204800,1969640,8029010,508302
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0100000US,,United States,122720574,20635471,3054828,8468171,667778
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,45838803,2930455,2096881,881478,312143
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,202237193,40286605,4041741,16795210,1020386
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0100000US,,United States,248075996,43217060,6138622,17676688,1332529
est72010,1-Jul-10,female,Female,hisp,Hispanic,0100000US,,United States,22679648,1510694,1017637,445436,153616
est72010,1-Jul-10,female,Female,nhisp,Not Hispanic,0100000US,,United States,102844758,21135948,2077696,8833845,514668
est72010,1-Jul-10,female,Female,tothisp,Total,0100000US,,United States,125524406,22646642,3095333,9279281,668284
est72010,1-Jul-10,male,Male,hisp,Hispanic,0100000US,,United States,23409187,1441807,1091162,442365,160489
est72010,1-Jul-10,male,Male,nhisp,Not Hispanic,0100000US,,United States,99494080,19260909,1974968,8091603,510936
est72010,1-Jul-10,male,Male,tothisp,Total,0100000US,,United States,122903267,20702716,3066130,8533968,671425
est72010,1-Jul-10,totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,46088835,2952501,2108799,887801,314105
est72010,1-Jul-10,totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,202338838,40396857,4052664,16925448,1025604
